,Title,Artist,Year
0,Breathe,Faith Hill,2000
1,Smooth,Santana,2000
2,Maria Maria,Santana,2000
3,I Wanna Know,Joe,2000
4,Everything You Want,Vertical Horizon,2000
5,Say My Name,Destiny's Child,2000
6,I Knew I Loved You,Savage Garden,2000
7,Amazed,Lonestar,2000
8,Bent,Matchbox Twenty,2000
9,He Wasn't Man Enough,Toni Braxton,2000
10,Higher,Creed,2000
11,Try Again,Aaliyah,2000
12,"Jumpin', Jumpin'",Destiny's Child,2000
13,Thong Song,Sisqó,2000
14,Kryptonite,3 Doors Down,2000
15,There You Go,Pink,2000
16,Music,Madonna,2000
17,Doesn't Really Matter,Janet Jackson,2000
18,What a Girl Wants,Christina Aguilera,2000
19,Back at One,Brian McKnight,2000
20,Bye Bye Bye,'N Sync,2000
21,You Sang to Me,Marc Anthony,2000
22,I Need to Know,Marc Anthony,2000
23,Get It On Tonite,Montell Jordan,2000
24,Incomplete,Sisqó,2000
25,I Try,Macy Gray,2000
26,It's Gonna Be Me,'N Sync,2000
27,That's The Way It Is,Celine Dion,2000
28,Country Grammar (Hot Shit),Nelly,2000
29,Bring It All to Me,Blaque,2000
30,Show Me the Meaning of Being Lonely,Backstreet Boys,2000
31,Hot Boyz,Missy Elliott,2000
32,Back Here,BBMak,2000
33,It Feels So Good,Sonique,2000
34,Absolutely (Story of a Girl),Nine Days,2000
35,With Arms Wide Open,Creed,2000
36,Be with You,Enrique Iglesias,2000
37,Come On Over Baby (All I Want Is You),Christina Aguilera,2000
38,No More,Ruff Endz,2000
39,All The Small Things,Blink 182,2000
40,The Way You Love Me,Faith Hill,2000
41,I Turn To You,Christina Aguilera,2000
42,Never Let You Go,Third Eye Blind,2000
43,I Need You,LeAnn Rimes,2000
44,Thank God I Found You,Mariah Carey,2000
45,Let's Get Married,Jagged Edge,2000
46,My Love Is Your Love,Whitney Houston,2000
47,Then The Morning Comes,Smash Mouth,2000
48,Blue (Da Ba Dee),Eiffel 65,2000
49,Desert Rose,Sting,2000
50,The Real Slim Shady,Eminem,2000
51,Most Girls,Pink,2000
52,Wifey,Next,2000
53,Wonderful,Everclear,2000
54,Oops!... I Did It Again,Britney Spears,2000
55,I Wanna Love You Forever,Jessica Simpson,2000
56,Give Me Just One Night (Una Noche),98 Degrees,2000
57,Take a Picture,Filter,2000
58,Otherside,Red Hot Chili Peppers,2000
59,Big Pimpin',Jay-Z,2000
60,A Puro Dolor,Son by Four,2000
61,He Can't Love U,Jagged Edge,2000
62,Separated,Avant,2000
63,I Wish,Carl Thomas,2000
64,U Know What's Up,Donell Jones,2000
65,Faded,soulDecision,2000
66,Only God Knows Why,Kid Rock,2000
67,Shake Ya Ass,Mystikal,2000
68,Bag Lady,Erykah Badu,2000
69,Meet Virginia,Train,2000
70,Party Up (Up in Here),DMX,2000
71,Case of the Ex,Mýa,2000
72,Forgot About Dre,Dr. Dre,2000
73,That's the Way,Jo Dee Messina,2000
74,Swear It Again,Westlife,2000
75,The Next Episode,Dr. Dre,2000
76,From the Bottom of My Broken Heart,Britney Spears,2000
77,Crash and Burn,Savage Garden,2000
78,Yes!,Chad Brock,2000
79,The Best Day,George Strait,2000
80,Where I Wanna Be,Donell Jones,2000
81,How Do You Like Me Now?!,Toby Keith,2000
82,My Best Friend,Tim McGraw,2000
83,Broadway,Goo Goo Dolls,2000
84,What'chu Like,Da Brat,2000
85,Don't Think I'm Not,Kandi,2000
86,I Hope You Dance,Lee Ann Womack,2000
87,Better Off Alone,Alice Deejay,2000
88,Dance with Me,Debelah Morgan,2000
89,What About Now,Lonestar,2000
90,I Like It,Sammie,2000
91,24/7,Kevon Edmonds,2000
92,Girl on TV,LFO,2000
93,Bounce with Me,Lil' Bow Wow,2000
94,Cowboy Take Me Away,Dixie Chicks,2000
95,I Don't Wanna,Aaliyah,2000
96,Independent Women,Destiny's Child,2000
97,Gotta Tell You,Samantha Mumba,2000
98,Waiting for Tonight,Jennifer Lopez,2000
99,Shackles (Praise You),Mary Mary,2000
100,Hanging by a Moment,Lifehouse,2001
101,Fallin',Alicia Keys,2001
102,All for You,Janet Jackson,2001
103,Drops of Jupiter (Tell Me),Train,2001
104,I'm Real (Murder Remix),Jennifer Lopez,2001
105,If You're Gone,Matchbox Twenty,2001
106,Let Me Blow Ya Mind,Eve,2001
107,Thank You,Dido,2001
108,Again,Lenny Kravitz,2001
109,Independent Women,Destiny's Child,2001
110,Hit 'Em Up Style (Oops!),Blu Cantrell,2001
111,It Wasn't Me,Shaggy,2001
