,Artist,Title,Top100,URI,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration,Time_Signature
1,linkin park,in the end,0,60a0Rd6pjrkxjPbaKzXjfq,0.556,0.864,3,-5.87,0,0.0584,0.00958,0.0,0.209,0.4,105.143,216880,4
2,the white stripes,seven nation army,0,7i6r9KotUPQg3ozKKgEPIN,0.737,0.463,0,-7.828,1,0.0792,0.00817,0.447,0.255,0.324,123.881,231733,4
3,red hot chili peppers,by the way,0,3ZOEytgrvLwQaqXreDs2Jx,0.618,0.938,9,-3.442,1,0.0456,0.0179,0.0,0.167,0.875,91.455,269000,4
5,evanescence,bring me to life,0,0COqiPhxzoWICwFCS4eZcp,0.331,0.943,4,-3.188,0,0.0698,0.00721,2.06e-06,0.242,0.296,94.612,235893,4
6,papa roach,last resort,0,5W8YXBz9MTIDyrpYaCg2Ky,0.589,0.89,4,-3.719,0,0.0603,0.000481,0.00082,0.201,0.692,90.598,199907,4
9,kings of leon,sex on fire,0,0ntQJM78wzOLVeCUAW7Y45,0.542,0.905,9,-5.653,1,0.054,0.00172,0.0104,0.136,0.374,153.398,203347,4
12,alien ant farm,smooth criminal,0,5z6xHjCZr7a7AIcy8sPBKy,0.653,0.964,9,-4.261,0,0.0582,0.00316,0.00512,0.144,0.87,126.928,209267,4
13,red hot chili peppers,can't stop,0,3ZOEytgrvLwQaqXreDs2Jx,0.618,0.938,9,-3.442,1,0.0456,0.0179,0.0,0.167,0.875,91.455,269000,4
14,system of a down,chop suey!,0,2DlHlPMa4M17kufBvI2lEN,0.419,0.934,7,-3.908,0,0.12,0.000278,0.0015,0.132,0.286,127.288,210240,4
15,franz ferdinand,take me out,0,6ooluO7DiEhI1zmK94nRCM,0.278,0.676,9,-8.821,1,0.0371,0.000423,0.000899,0.136,0.494,104.545,237027,4
16,blink-182,i miss you,0,1oTo3ijRbaDAtrjJrGAPSw,0.664,0.781,11,-6.547,1,0.0339,0.00103,5.33e-06,0.0867,0.593,110.0,227240,4
20,thirty seconds to mars,the kill (bury me),0,232FvPwx9QqPtvob5aSDKv,0.303,0.926,4,-3.945,0,0.0695,0.00115,0.00235,0.275,0.272,182.915,233427,3
22,queens of the stone age,no one knows,0,6NvRxjfYkkT2SpirAlmsjH,0.511,0.581,0,-4.93,1,0.0581,0.031,0.000171,0.367,0.668,170.852,278707,4
23,caesars,jerk it out,0,6sbp4i2FtlsQSVMepZPG9c,0.58,0.981,8,-2.603,0,0.06,0.0171,1.07e-05,0.386,0.861,134.007,195667,4
24,muse,uprising,0,4VqPOruhp5EdPBeR92t6lQ,0.602,0.905,2,-4.046,1,0.0775,0.000202,0.064,0.117,0.411,128.019,304840,4
27,green day,american idiot,0,6nTiIhLmQ3FWhvrGafw2zj,0.38,0.988,1,-2.042,1,0.0639,2.64e-05,7.86e-05,0.368,0.769,186.113,176346,4
30,foo fighters,all my life,0,6tsojOQ5wHaIjKqIryLZK6,0.58,0.604,5,-5.703,1,0.047,0.000218,0.000579,0.477,0.645,167.784,263440,4
33,three days grace,i hate everything about you,0,6rUp7v3l8yC4TKxAAR5Bmx,0.498,0.83,6,-5.157,0,0.0421,0.00461,0.0,0.139,0.453,89.342,231480,4
34,limp bizkit,rollin' (air raid vehicle),0,3IV4swNduIRunHREK80owz,0.603,0.933,1,-3.358,1,0.171,0.00591,0.0,0.206,0.709,96.306,213760,4
35,sum 41,fat lip,0,4KacUpvbA3Mfo05gttTjhN,0.402,0.914,9,-5.215,1,0.142,0.000579,0.0,0.065,0.626,196.505,178267,4
36,foo fighters,the pretender,0,7x8dCjCr0x6x2lXKujYD34,0.433,0.959,9,-4.04,1,0.0431,0.000917,0.0,0.028,0.365,172.984,269373,4
37,rise against,savior,0,3asFGFY3uLjMDmML1p0tYm,0.339,0.931,5,-3.425,0,0.062,0.0015,0.000142,0.425,0.467,112.548,242280,4
38,drowning pool,bodies,0,7CpbhqKUedOIrcvc94p60Y,0.659,0.93,4,-3.41,0,0.0783,0.00364,0.00124,0.149,0.534,130.94,201960,4
40,the strokes,last nite,0,3SUusuA9jH1v6PVwtYMbdv,0.624,0.899,0,-5.71,1,0.0295,0.0223,0.000155,0.0975,0.797,104.055,193373,4
41,stone sour,through glass,0,5NeIONQWJ25uPylJBJiO4c,0.545,0.753,3,-4.618,0,0.036,0.0417,0.0,0.389,0.434,105.754,282947,4
42,breaking benjamin,the diary of jane - single version,0,0faXHILILebCGnJBPU6KJJ,0.392,0.964,10,-4.441,0,0.0644,7.13e-05,0.0387,0.106,0.269,167.024,200547,4
43,disturbed,down with the sickness,0,40rvBMQizxkIqnjPdEWY1v,0.695,0.876,3,-4.262,0,0.0553,0.000996,6.89e-06,0.106,0.941,89.954,279213,4
