,Artist,Title,Top100,URI
1,linkin park,in the end,0,60a0Rd6pjrkxjPbaKzXjfq
2,the white stripes,seven nation army,0,7i6r9KotUPQg3ozKKgEPIN
3,red hot chili peppers,by the way,0,3ZOEytgrvLwQaqXreDs2Jx
5,evanescence,bring me to life,0,0COqiPhxzoWICwFCS4eZcp
6,papa roach,last resort,0,5W8YXBz9MTIDyrpYaCg2Ky
9,kings of leon,sex on fire,0,0ntQJM78wzOLVeCUAW7Y45
12,alien ant farm,smooth criminal,0,5z6xHjCZr7a7AIcy8sPBKy
13,red hot chili peppers,can't stop,0,3ZOEytgrvLwQaqXreDs2Jx
14,system of a down,chop suey!,0,2DlHlPMa4M17kufBvI2lEN
15,franz ferdinand,take me out,0,6ooluO7DiEhI1zmK94nRCM
16,blink-182,i miss you,0,1oTo3ijRbaDAtrjJrGAPSw
20,thirty seconds to mars,the kill (bury me),0,232FvPwx9QqPtvob5aSDKv
22,queens of the stone age,no one knows,0,6NvRxjfYkkT2SpirAlmsjH
23,caesars,jerk it out,0,6sbp4i2FtlsQSVMepZPG9c
24,muse,uprising,0,4VqPOruhp5EdPBeR92t6lQ
27,green day,american idiot,0,6nTiIhLmQ3FWhvrGafw2zj
30,foo fighters,all my life,0,6tsojOQ5wHaIjKqIryLZK6
33,three days grace,i hate everything about you,0,6rUp7v3l8yC4TKxAAR5Bmx
34,limp bizkit,rollin' (air raid vehicle),0,3IV4swNduIRunHREK80owz
35,sum 41,fat lip,0,4KacUpvbA3Mfo05gttTjhN
36,foo fighters,the pretender,0,7x8dCjCr0x6x2lXKujYD34
37,rise against,savior,0,3asFGFY3uLjMDmML1p0tYm
38,drowning pool,bodies,0,7CpbhqKUedOIrcvc94p60Y
40,the strokes,last nite,0,3SUusuA9jH1v6PVwtYMbdv
41,stone sour,through glass,0,5NeIONQWJ25uPylJBJiO4c
42,breaking benjamin,the diary of jane - single version,0,0faXHILILebCGnJBPU6KJJ
43,disturbed,down with the sickness,0,40rvBMQizxkIqnjPdEWY1v
44,incubus,wish you were here,0,6KtLECDztnah63TNmV4Plw
45,p.o.d.,youth of the nation,0,0UrWr7Jnu1heq1o99ZwUd0
46,u2,vertigo,0,57ZXcBtCZXSg9TVV5xRdnR
47,afi,miss murder,0,0Ti2dlF2xLjXblvdU5fCxM
48,arctic monkeys,i bet you look good on the dancefloor,0,29EkMZmUNz1WsuzaMtVo1i
49,the raconteurs,"steady, as she goes",0,19iqWNzp5LwEdvntpEK8MP
50,korn,falling away from me,0,2F6FfZ4w8z3eJpSxPotVO5
51,hoobastank,crawling in the dark,0,3wli6CFsUwYEuLZTIuCwt3
52,godsmack,i stand alone,0,44NRdYQw7P0GWuiunRv3hr
53,wolfmother,woman,0,3CkjLJYnnyOtGk4Jx4iYS4
54,audioslave,show me how to live,0,1Qdnvn4XlmZANCVy3XjrQo
55,chevelle,the red,0,1gyee1JuFFiP476LQpRMYU
56,seether,remedy,0,5ynxx6zC4dgzsMHLYQ04Dc
57,muse,plug in baby,0,429MqIq5nGH32feyRZHunv
58,deftones,change (in the house of flies) - in the house of flies lp version,0,51c94ac31swyDQj9B3Lzs3
59,a perfect circle,judith,0,5KDNFlHAdDJ84fhK27c35X
60,bad bunny,mia (feat. drake),0,116H0KvKr2Zl4RPuVBruDO
61,dj snake,"taki taki (with selena gomez, ozuna & cardi b)",0,4w8niZpiMy6qz1mntFA5uM
62,dillon francis,white boi,0,2X7pHBr2TJl0yZ97B2vz40
63,cris cab,just wanna love you (feat. j. balvin),0,3d0j5Tkx2Yum7FhMvJZe85
64,bazzi,beautiful (feat. camila cabello),0,4VUwkH455At9kENOfzTqmF
65,lele pons,celoso,0,33zcmmElV1YbRZe57biUjg
66,fuego,good vibes,0,4TwIbmabI2R5XUhqptk6Ev
67,camila cabello,real friends,0,5vnpANH92iEajvGwE2oQ6r
68,coastcity,pa la calle,0,5MS3LTJ8zXkxMobDgFhvMC
69,dalex,pa mí,0,7g8YaUQABMal0zWe7a2ijz
70,gucci mane,wake up in the sky,0,0QIjsbm2fh1cJ45XO9eGqq
71,marc anthony,está rico,0,2wRkBumdItthjYP9XknImg
72,miguel,banana clip - spanish version,0,3sZB7cAJkbVkeWz1dMJ2Sy
74,kap g,come with me,0,0k9Dqeik4DvPIbaOHglvFS
75,melii,como si na,0,7LAK1HqDfxTt7HvSJ0px2M
76,mariah,blah,0,5KOWiETj1KBUUe1oMohuHX
77,a.chal,love n hennessy remix (feat. 2 chainz & nicky jam),0,5EE4UWNUvVKPWSwnvtMn3J
78,cuco,mi infinita,0,34jrXQENVMzhDQHmjOJpA1
79,katzù oso,coqueta,0,66ddt3E6KGEpRhJVchDnz3
80,jessie reyez,sola,0,3doK7YkkgMtfD6qoXCkTWh
81,kali uchis,nuestro planeta (feat. reykon),0,12TOa8pzhbLTWh1vxIsPMp
82,omar apollo,hijo de su madre,0,2LGR3T1xZwuELcOi6DpMXY
83,rudy mancuso,lento,0,3TqVwe3IkJGvnFpbYvh9pu
84,matt hunter,dicen,0,4cfoVJxpHqUqTvBrG1RTyi
85,6ix9ine,bebe,0,6mKs2kkBgvf090H566n1pd
87,becky g,zooted (feat. french montana & farruko),0,3clw56k8jqFaXnwdejV4Yo
88,camila cabello,havana - remix,0,3whrwq4DtvucphBPUogRuJ
89,sammi sanchez,pum pum,0,08d7h5o87QHdxIJ8qwgvgh
90,jesse baez,quiero saber,0,3hbJTkEZUwGR7o74InfR3D
91,kim viera,como,0,2sVQ3guXjN1KB3BiuZHaFD
92,breakfast n vegas,anywhere contigo,0,5pc9qadiig2q84FABIGHsn
93,messiah,no gratis,0,0YNZO6VgdOUDvB5T2yMGnL
94,leslie grace,díganle - tainy remix,0,1l89iNLbzfFN9TsWJORolB
95,pharrell williams,sangria wine,0,6XlSyYFTU1nodeWwwzVgTV
96,danileigh,all day,0,1gxrzphu3xwlZAQhtvNBMK
97,spiff tv,just as i am,0,1iKMpywaaihrz8gqaRqzp1
98,nina sky,nice & slow,0,23TRtzNuTqGJN8AvPF9hv1
99,dj kass,scooby doo pa pa (remix),0,1qn6qJieOnISqDvhAsnyKT
100,paula deanda,don't werk,0,1GXwLx1iRQWDiyC8lxzTbL
101,sofia reyes,"1, 2, 3 (feat. jason derulo & de la ghetto)",0,4QtiVmuA88tPQiCOHZuQ5b
102,tory lanez,pa mi (with ozuna),0,0CYLDwvvpJQySLA5CvqvSl
103,super junior,lo siento,0,2VVqxQhALecXvaArlZSVXr
104,snow tha product,nuestra cancion pt. 2 (feat. arcángel),0,6fXcO9KlWgg4zAgEHDg84i
105,jackie cruz,la hora loca,0,3slEtqOv6jsy9BlRlqxy4C
106,trinidad cardona,dinero - english version,0,1VNYba9ONwMhB32QdqU0ms
107,messiah,pum pum (feat. kap g & play-n-skillz),0,3Aisht63nuyccguwcW3ek5
108,dj africa,hora loca,0,0IfyEwBIhH64zdIHoKOFys
109,michl,better with you,0,1FjHxl8B28sXj7eVfxdST4
110,ne-yo,nights like these,0,5wV6xSCqRD8kqV6daq7S7w
111,anthony ramos,alright,0,6oFsUGtEpV7qZGyYpQGtJe
112,amara la negra,insecure,0,5vad0eq5x3f3rtRlo8GnL4
113,play-n-skillz,si una vez - (if i once)[spanglish version],0,2qrv19NlDX5H67XZR1QCcn
114,bruno mars,finesse (remix) [feat. cardi b],0,3Vo4wInECJQuz9BIBMOu8i
115,fancy cars,belong to u,0,6pG8mlZHcSt14eQCOQxA2N
116,salaam remi,sunny daze,0,3whp8PfpRw1xqzz7rbIzN4
118,lil eddie,island,0,1i3DTKrrzzYgpIyM3eCNZE
119,beyoncé,crazy in love,0,5IVuqXILoxVWvWEPm82Jxr
123,michael jackson,michael jackson x mark ronson: diamonds are invincible,0,7jRs0CvNctNBNH1roANQdY
125,t.i.,live your life (feat. rihanna),0,3jlbL2OTD5YmIunYzgQTAN
129,michael jackson,love never felt so good,0,48td6xvpokdYwvbl3JIiXP
132,train,drops of jupiter,0,2hKdd3qO7cWr2Jo0Bcs0MA
137,kesha,tik tok,0,0HPD5WQqrq7wPWR7P7Dw1i
138,chris brown,look at me now,0,3hsmbFKT5Cujb5GQjqEU39
161,britney spears,oops!...i did it again,0,6naxalmIoLFWR0siv8dnQQ
163,daft punk,get lucky (feat. pharrell williams & nile rodgers) - radio edit,0,2Foc5Q5nqNiosCNqttzHof
165,ciara,"one, two step",0,7uKcScNXuO3MWw6LowBjW1
181,christina aguilera,dirrty (feat. redman),0,59ZTxQo8rBycIXPLUIKvE2
186,destiny's child,"independent women, pt. 1",0,69XUpOpjzDKcfdxqZebGiI
188,p!nk,get the party started,0,02jcEwywffn3Tsb48fXmlW
189,good charlotte,the anthem,0,0BRHnOFm6sjxN1i9LJrUDu
193,daughtry,over you,0,7mXmxXLAnsvXKt4Q37KoMI
197,marc anthony,vivir mi vida,0,3QHMxEOAGD51PDlbFPHLyJ
198,celia cruz,la vida es un carnaval,0,1BwrMGGhPA6GarWIYaFrW8
199,kaoma,lambada - original version 1989,0,6xepovPqjvrkEw9Y5AMmTm
200,juanes,la camisa negra,0,2EM9zpAc7PVeoAydmbfVIL
201,carlos vives,la gota fría,0,5ZaTqcL7zIreaVNeVy89Iu
202,elvis crespo,suavemente,0,1YwPNemawMgGe6sF4U0FTE
203,enrique iglesias,bailando - spanish version,0,32lm3769IRfcnrQV11LO4E
204,don omar,danza kuduro,0,2a1o6ZejUi8U3wzzOtCOYw
205,miami sound machine,conga,0,3FdHgoJbH3DXNtGLh56pFu
206,juan luis guerra 4.40,la bilirrubina - en vivo estadio olímpico de república dominicana/2012,0,1GT0Q2ZTeKtIBueYKr4vhr
207,celia cruz,guantanamera,0,7arYtARCpVmLPsB8Chua4A
208,los fabulosos cadillacs,el matador,0,4S0p4Z0KuVUWm2bxKoGPRJ
209,selena,amor prohibido,0,1kCewNSs909Xj1naXr36X8
211,aventura,obsesion,0,65H6t1WQBim6q93yM8fEwn
212,jennifer lopez,let's get loud,0,42nSaPdT6g3ZIMHmKLlP2p
213,tito puente,oye como va,0,73uEbChpBB29ttwVnwuNVE
215,gipsy kings,bamboleo,0,4EveU9Zb50mjgi5avDNqlK
216,rubén blades,pedro navaja,0,3TfU1HNQzBR7Btx73qm29W
217,daddy yankee,gasolina,0,6jEZLz3YpnEBRpVkv35AmP
218,pérez prado,mambo no 5,0,6fJnlY8rYqC37J2u2OeEMf
219,soda stereo,de música ligera,0,2WD9ggmpZE7Wodh3qVVCgg
220,los del rio,macarena,0,4oaj36KzXRgDg4McgcTsZK
221,los lobos,la bamba,0,6uU5OBhGUE1ngSKDj4wtoq
222,juan gabriel,querida,0,7osHjFGYUmIMB6eAiU9HDs
223,santana,maria maria - radio mix,0,3XKIUb7HzIF1Vu9usunMzc
224,café tacvba,la ingrata,0,19ScoKGqnfUggyqOVQjsoH
225,alejandro sanz,corazón partio,0,0wQCKR9OFjYu5Kzrk7WivJ
226,ricky martin,livin' la vida loca,0,0Ph6L4l8dYUuXFmb71Ajnd
